Time,trans_axial,forca,trans_grande,trans_radial,1,2,3,RDP132105,Ref. of axis Actuador axial 10 kN,Number of cycles,LVDT 3,RDP132091,RDP132089,ea,q,Ed_Shoelace,Ed_trapezio,,,
"5:131:7173:429532:429497715,6",5.70910138,0.39160098,5.86994889,0.61238981,3.22545801,1.30560298,2.7053543,0.01004355,1,949999,0.0124056077307692,0.00502154992307692,0.0104052088461538,0.00771337938461539,22.1600823774686,,0.00381195965696044,,,
"5:131:7173:429533:429496740,6",5.77165052,0.52534737,5.93546057,0.47410824,3.23270163,1.31966656,2.7676935,0.01004355,1,949999,0.0124334678076923,0.00507564061538462,0.010644975,0.00786030780769231,29.7285798314051,,0.00439393635886984,,,
"5:131:7173:429533:429496765,6",5.83264242,0.70477614,6.00557854,0.47410824,3.24529923,1.3302652,2.82274124,0.01004355,1,949999,0.0124819201153846,0.00511640461538462,0.0108566970769231,0.00798655084615385,39.8821711837247,,0.0028061579092772,,,
"5:131:7173:429533:429496790,6",5.87001618,0.82479141,6.04140524,0.47410824,3.25915659,1.33542864,2.85129482,0.00986094,1,949999,0.0125352176538462,0.005136264,0.0109665185384615,0.00805139126923077,46.6736461942166,,0.00087855432989966,0.00519321984200528,,
"5:131:7173:429533:429496815,6",5.88091686,0.85344192,6.04754696,0.47410824,3.27506106,1.33692332,2.85942118,0.00967833,1,949999,0.0125963886923077,0.00514201276923077,0.0109977737692308,0.00806989326923077,48.2949334079424,,0.000260385844440738,,,
"5:131:7173:429533:429496840,6",5.8850695,0.85502628,6.05112963,0.47410824,3.29238276,1.33733096,2.86181456,0.00967833,1,949999,0.0126630106153846,0.00514358061538462,0.0110069790769231,0.00807527984615385,48.3845898437244,,-9.95038551476249E-05,,,
"5:131:7173:429533:429496865,6",5.878581,0.81475713,6.04754696,0.47410824,3.30576771,1.3377386,2.86031174,0.00986094,1,949999,0.0127144911923077,0.00514514846153846,0.011001199,0.00807317373076923,46.1058221009301,,-0.000998029052236956,,,
"5:131:7173:429533:429496890,6",5.86352768,0.70385193,6.03526352,0.47410824,3.31584579,1.3377386,2.84823352,0.00986094,1,949999,0.0127532530384615,0.00514514846153846,0.0109547443076923,0.00804994638461538,39.8298715961851,,-0.000940239402852898,,,
"5:131:7173:429533:429496915,6",5.84691712,0.61724025,6.02144465,0.47410824,3.32686869,1.3377386,2.83515342,0.00986094,1,949999,0.0127956488076923,0.00514514846153846,0.0109044362307692,0.00802479234615385,34.9286531067652,,-0.00138489148607061,,,
"5:131:7173:429533:429496940,6",5.82719208,0.52217865,5.99175967,0.47410824,3.33458472,1.33733096,2.81322338,0.00967833,1,949999,0.0128253258461538,0.00514358061538462,0.0108200899230769,0.00798183526923077,29.549266959841,,-0.00207297015320071,,,
"5:131:7173:429533:429496965,6",5.79137556,0.41787495,5.94774401,0.47410824,3.33552954,1.3329828,2.77704438,0.00967833,1,949999,0.0128289597692308,0.00512685692307692,0.0106809399230769,0.00790389842307692,23.6468849375213,,-0.0022344249892153,,,
"5:131:7173:429533:429496990,6",5.74647514,0.32268132,5.8960512,0.47410824,3.33505713,1.32489794,2.72967772,0.00986094,1,949999,0.0128271428076923,0.00509576130769231,0.0104987604615385,0.00779726088461539,18.2600274209485,,-0.00196186536920827,,,
